feature_set,model,primary_metric_name,primary_metric,ICBHI_Score,Se,Sp,macro_f1,accuracy,se_crackle,se_wheeze,se_both,se_normal,n_train,n_test,best_params,cm_figure
A_mfcc_delta,logreg,ICBHI_Score,0.5069130683442951,0.5069130683442951,0.6561338289962825,0.3576923076923077,0.27301391629583416,0.34787556904400607,0.3565640194489465,0.34048257372654156,0.13953488372093023,0.3576923076923077,4262,2636,{},cm_lung_A_logreg.png
A_mfcc_delta,svm,ICBHI_Score,0.5362584596320655,0.5362584596320655,0.6180297397769516,0.4544871794871795,0.31862128828691816,0.4241274658573596,0.4035656401944895,0.40482573726541554,0.10465116279069768,0.4544871794871795,4262,2636,"{'clf__C': 1, 'clf__gamma': 'scale'}",cm_lung_A_svm.png
A_mfcc_delta,rf,ICBHI_Score,0.47629158326184345,0.47629158326184345,0.10130111524163568,0.8512820512820513,0.22647036567000317,0.529969650986343,0.055105348460291734,0.0938337801608579,0.0,0.8512820512820513,4262,2636,{},cm_lung_A_rf.png
A_mfcc_delta,xgb,ICBHI_Score,0.5107711371651893,0.5107711371651893,0.47026022304832715,0.5512820512820513,0.29682075497907046,0.4336115326251897,0.2917341977309562,0.24396782841823056,0.13953488372093023,0.5512820512820513,4262,2636,"{'clf__max_depth': 3, 'clf__n_estimators': 200}",cm_lung_A_xgb.png
B_mfcc_delta_spectral,logreg,ICBHI_Score,0.5328722238108855,0.5328722238108855,0.6933085501858736,0.37243589743589745,0.29102231095048264,0.36798179059180575,0.39708265802269044,0.3485254691689008,0.16279069767441862,0.37243589743589745,4262,2636,{},cm_lung_B_logreg.png
B_mfcc_delta_spectral,svm,ICBHI_Score,0.5367874845105328,0.5367874845105328,0.6152416356877324,0.4583333333333333,0.3202583964348832,0.42564491654021247,0.4051863857374392,0.3941018766756032,0.11627906976744186,0.4583333333333333,4262,2636,"{'clf__C': 1, 'clf__gamma': 'scale'}",cm_lung_B_svm.png
B_mfcc_delta_spectral,rf,ICBHI_Score,0.47218925745877416,0.47218925745877416,0.09758364312267657,0.8467948717948718,0.24273315967958625,0.5318664643399089,0.06645056726094004,0.10187667560321716,0.023255813953488372,0.8467948717948718,4262,2636,{},cm_lung_B_rf.png
B_mfcc_delta_spectral,xgb,ICBHI_Score,0.5001846821084739,0.5001846821084739,0.36895910780669144,0.6314102564102564,0.2941828895312255,0.4601669195751138,0.21393841166936792,0.23056300268096513,0.11627906976744186,0.6314102564102564,4262,2636,"{'clf__max_depth': 6, 'clf__n_estimators': 200}",cm_lung_B_xgb.png
