feature_set,model,primary_metric_name,primary_metric,ICBHI_Score,Se,Sp,macro_f1,accuracy,se_crackle,se_wheeze,se_both,se_normal,n_train,n_test,params,fallback_from,cm_figure
log_mel_64x128,cnn,ICBHI_Score,0.5510783052139929,0.5510783052139929,0.6784386617100372,0.4237179487179487,0.3290854134740315,0.4245068285280728,0.4505672609400324,0.4584450402144772,0.10465116279069768,0.4237179487179487,4262,2636,98148,,cm_lung_cnn.png
log_mel_64x128,effnet_b0,ICBHI_Score,0.5491492708035459,0.5491492708035459,0.5213754646840149,0.5769230769230769,0.3225358166219816,0.47382397572078905,0.3987034035656402,0.26005361930294907,0.06976744186046512,0.5769230769230769,4262,2636,4012672,,cm_lung_effnet.png
