modality,metric,mean,std,Se_mean,Sp_mean,per_seed
heart,MAcc,0.8643,0.0061,0.928,0.8,0.8617;0.8599;0.8713
lung,ICBHI,0.5944,0.0226,0.68,0.509,0.6197;0.5764;0.5871
