feature_set,model,primary_metric_name,primary_metric,MAcc,Se,Sp,macro_f1,auc_roc,accuracy,n_train,n_test,best_params,cm_figure
A_mfcc_delta,logreg,MAcc,0.7944944168734491,0.7944944168734491,0.8692307692307693,0.719758064516129,0.7061563459108142,0.8493641439205956,0.7507987220447284,33246,626,{},cm_heart_A_logreg.png
A_mfcc_delta,svm,MAcc,0.8589019851116625,0.8589019851116625,0.9153846153846154,0.8024193548387096,0.7827184867928734,0.9330490074441687,0.8258785942492013,33246,626,"{'clf__C': 1, 'clf__gamma': 'scale'}",cm_heart_A_svm.png
A_mfcc_delta,rf,MAcc,0.8169199751861043,0.8169199751861043,0.6923076923076923,0.9415322580645161,0.827048973561244,0.9417726426799007,0.889776357827476,33246,626,{},cm_heart_A_rf.png
A_mfcc_delta,xgb,MAcc,0.8790632754342431,0.8790632754342431,0.9153846153846154,0.842741935483871,0.8158062649805768,0.9499534739454094,0.8578274760383386,33246,626,"{'clf__max_depth': 3, 'clf__n_estimators': 200}",cm_heart_A_xgb.png
B_mfcc_delta_spectral,logreg,MAcc,0.8248138957816378,0.8248138957816378,0.9076923076923077,0.7419354838709677,0.7339211114349558,0.8984646401985112,0.7763578274760383,33246,626,{},cm_heart_B_logreg.png
B_mfcc_delta_spectral,svm,MAcc,0.8694323821339951,0.8694323821339951,0.9384615384615385,0.8004032258064516,0.7881998792098681,0.9352047146401985,0.829073482428115,33246,626,"{'clf__C': 1, 'clf__gamma': 'scale'}",cm_heart_B_svm.png
B_mfcc_delta_spectral,rf,MAcc,0.8312965260545906,0.8312965260545906,0.7230769230769231,0.9395161290322581,0.8370126078929513,0.9449596774193549,0.8945686900958466,33246,626,{},cm_heart_B_rf.png
B_mfcc_delta_spectral,xgb,MAcc,0.9025124069478908,0.9025124069478908,0.9461538461538461,0.8588709677419355,0.8393625423655384,0.9573045905707196,0.8769968051118211,33246,626,"{'clf__max_depth': 3, 'clf__n_estimators': 200}",cm_heart_B_xgb.png
