family,model,primary_metric_name,primary_metric,std,Se,Sp,auc_roc
deep,cnn,MAcc,0.8097,0.0072,0.7067,0.9127,0.8681
deep,effnet_b0,MAcc,0.7603,0.0176,0.5865,0.9342,0.8333
