modality,model,trial_idx,learning_rate,batch_size,weight_decay,aug_strength,label_smoothing,imbalance,patience,cnn_widths,p,best_val_score,primary_metric_test,epochs_ran,train_time_s,gpu_id,elapsed_s
heart,cnn,30,0.0010252407305556875,32,1.5476448268282183e-05,1.0,0.05,weighted_sampler,10,"[32, 64, 128, 256]",0.5,0.942457021440989,0.878318858560794,25,296.9977245442569,2,304.1
heart,effnet,2,0.00021890503901132483,64,4.590769971023896e-05,0.5,0.05,class_weight,5,None,0.3,0.9345116219174554,0.8948976426799007,8,456.2652583755553,2,467.6
heart,effnet,1,0.0002620246216471879,32,2.2419430324034327e-05,1.5,0.0,class_weight,7,None,0.3,0.9349730646234413,0.8913461538461538,11,583.0802814178169,1,595.0
heart,effnet,0,0.00011403659099675872,16,0.00010201932381217396,0.5,0.05,weighted_sampler,5,None,0.3,0.9322709419869938,0.8916873449131513,7,641.7549681328237,0,656.2
heart,effnet,3,0.00012246003463430732,32,3.199879234925294e-05,1.5,0.0,class_weight,7,None,0.3,0.9335286416414483,0.9007909429280397,14,872.7007117569447,3,885.2
heart,effnet,7,8.828173799080004e-05,32,0.0,0.5,0.0,class_weight,10,None,0.3,0.9365655785203786,0.893067617866005,13,803.2808965854347,3,813.3
heart,effnet,5,7.34547976564694e-05,16,6.825328708567115e-05,1.0,0.1,class_weight,10,None,0.3,0.9370613611486704,0.8903380893300248,15,1311.6139263696969,1,1327.1
heart,effnet,6,0.0001574561092241905,32,0.0009939121867287692,0.5,0.1,class_weight,10,None,0.3,0.9466786856394738,0.8895161290322581,21,1371.6872444450855,2,1384.6
heart,effnet,4,3.628359573128119e-05,16,4.909349877311872e-05,0.5,0.1,weighted_sampler,7,None,0.3,0.9188225699139356,0.8740539702233251,22,2017.8480732254684,0,2032.2
heart,effnet,10,0.00020869374261780934,32,1.1366736519954504e-05,0.5,0.05,weighted_sampler,5,None,0.3,0.9231601313502028,0.8846619106699752,8,507.58715111762285,2,518.9
heart,effnet,9,3.85364341847766e-05,16,6.291119082711295e-05,0.5,0.05,weighted_sampler,7,None,0.3,0.9102633442791837,0.8716346153846154,9,739.7646243013442,1,753.7
heart,effnet,8,6.425723615843292e-05,16,0.0,1.0,0.05,weighted_sampler,10,None,0.3,0.9110617474727963,0.8706265508684863,12,1207.3837348483503,0,1221.5
