model,primary_metric_name,primary_metric_mean,primary_metric_std,Se_mean,Se_std,Sp_mean,Sp_std,macro_f1_mean,macro_f1_std,auc_roc_mean,auc_roc_std,accuracy_mean,accuracy_std,n_seeds,seeds,n_train,n_test
cnn,MAcc,0.8097,0.0072,0.7067,0.0275,0.9127,0.026,0.8038,0.0166,0.8681,0.0096,0.8713,0.0163,3,"[1, 2, 42]",29142,912
effnet_b0,MAcc,0.7603,0.0176,0.5865,0.0742,0.9342,0.0399,0.7755,0.0086,0.8333,0.0048,0.8644,0.0173,3,"[1, 2, 42]",29142,912
