feature_set,model,primary_metric_name,primary_metric,MAcc,Se,Sp,macro_f1,auc_roc,accuracy,n_train,n_test,params,fallback_from,cm_figure
log_mel_64x128,cnn,MAcc,0.8609181141439206,0.8609181141439206,0.9153846153846154,0.8064516129032258,0.7859418691977054,0.9382133995037221,0.829073482428115,33246,626,97890,,cm_heart_cnn.png
log_mel_64x128,effnet_b0,MAcc,0.8720068238213399,0.8720068238213399,0.9153846153846154,0.8286290322580645,0.8039998434503541,0.9540787841191067,0.8466453674121406,33246,626,4010110,,cm_heart_effnet.png
